IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.153.109	8c:ec:4b:9a:d1:e5	0	0	0	0	0	0	0	0	0.0
172.17.152.188	78:45:c4:3e:24:ce	0	0	0	0	0	0	0	0	0.0
172.17.154.27	8c:ec:4b:ce:e0:ce	0	0	0	0	0	0	0	0	0.0
172.17.157.204	a4:bb:6d:8a:0a:e5	0	0	0	0	0	0	0	0	0.0
172.17.152.142	78:45:c4:3e:1e:d8	0	0	0	0	0	0	0	0	0.0
172.17.156.230	50:9a:4c:33:b3:a0	0	0	0	0	0	0	0	0	0.0
172.17.153.190	00:e0:4c:0c:1d:4a	0	0	0	0	0	0	0	0	0.0
172.17.153.147	8c:ec:4b:ce:b5:fb	0	0	0	0	0	0	0	0	0.0
172.17.153.44	8c:ec:4b:55:d9:86	0	0	0	0	0	0	0	0	0.0
172.17.158.137	00:e0:4c:0a:ed:6e	0	0	0	0	0	0	0	0	0.0
172.17.153.14	8c:ec:4b:ce:76:99	0	0	0	0	0	0	0	0	0.0
172.17.152.127	78:84:3c:ee:6f:9e	0	0	0	0	0	0	0	0	0.0
172.17.157.108	a4:bb:6d:8a:06:ed	0	0	0	0	0	0	0	0	0.0
172.17.153.17	8c:ec:4b:cb:a3:4e	0	0	0	0	0	0	0	0	0.0
172.17.152.85	50:9a:4c:32:0b:3d	0	0	0	0	0	0	0	0	0.0
172.17.152.47	a8:42:a1:fb:f6:9f	0	0	0	0	0	0	0	0	0.0
172.17.152.208	e4:54:e8:9d:09:28	0	0	0	0	0	0	0	0	0.0
172.17.153.52	8c:ec:4b:ce:78:85	0	0	0	0	0	0	0	0	0.0
172.17.157.72	a4:bb:6d:8a:09:f2	0	0	0	0	0	0	0	0	0.0
172.17.153.34	8c:ec:4b:cd:61:19	0	0	0	0	0	0	0	0	0.0
172.17.152.164	8c:ec:4b:cf:28:e3	0	0	0	0	0	0	0	0	0.0
172.17.153.116	8c:ec:4b:4a:12:da	0	0	0	0	0	0	0	0	0.0
172.17.152.189	8c:ec:4b:ce:e9:ed	0	0	0	0	0	0	0	0	0.0
172.17.154.51	8c:ec:4b:55:db:49	0	0	0	0	0	0	0	0	0.0
172.17.157.253	a4:bb:6d:8a:0c:36	0	0	0	0	0	0	0	0	0.0
172.17.156.100	e4:54:e8:9d:08:9e	0	0	0	0	0	0	0	0	0.0
172.17.157.33	a4:bb:6d:8a:08:05	0	0	0	0	0	0	0	0	0.0
172.17.156.226	00:e0:4c:0b:34:c0	0	0	0	0	0	0	0	0	0.0
172.17.154.193	8c:ec:4b:ce:a3:a2	0	0	0	0	0	0	0	0	0.0
172.17.158.184	e4:a8:df:97:86:5f	0	0	0	0	0	0	0	0	0.0
172.17.153.126	8c:ec:4b:ce:e5:fa	0	0	0	0	0	0	0	0	0.0
172.17.154.105	00:e0:4c:52:fe:e2	0	0	0	0	0	0	0	0	0.0
172.17.154.83	d4:3d:7e:48:63:5c	0	0	0	0	0	0	0	0	0.0
172.17.152.93	7c:c2:c6:53:8b:cd	0	0	0	0	0	0	0	0	0.0
172.17.152.81	b0:19:21:6c:dc:a7	0	0	0	0	0	0	0	0	0.0
172.17.153.49	50:9a:4c:33:b1:f9	0	0	0	0	0	0	0	0	0.0
172.17.154.186	30:de:4b:49:ae:94	0	0	0	0	0	0	0	0	0.0
172.17.153.182	48:4d:7e:e5:9d:cf	0	0	0	0	0	0	0	0	0.0
172.17.152.231	8c:ec:4b:cd:55:36	0	0	0	0	0	0	0	0	0.0
172.17.152.105	e4:54:e8:9d:0a:b1	0	0	0	0	0	0	0	0	0.0
172.17.154.20	8c:ec:4b:ce:b8:65	0	0	0	0	0	0	0	0	0.0
