IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.155.148	8c:ec:4b:cd:61:43	0	0	0	0	0	0	0	0	0.0
172.17.154.192	8c:ec:4b:cc:be:85	0	0	0	0	0	0	0	0	0.0
172.17.152.3	38:10:f0:f4:d4:25	0	0	0	0	0	0	0	0	0.0
172.17.157.175	c0:25:a5:92:b6:85	0	0	0	0	0	0	0	0	0.0
172.17.152.207	2c:3e:cf:fb:e0:91	0	0	0	0	0	0	0	0	0.0
172.17.152.159	8c:ec:4b:ce:b3:d3	0	0	0	0	0	0	0	0	0.0
172.17.154.195	8c:ec:4b:55:d9:20	0	0	0	0	0	0	0	0	0.0
172.17.153.155	8c:ec:4b:ce:5d:7a	0	0	0	0	0	0	0	0	0.0
172.17.152.203	2c:3e:cf:fb:f0:a7	0	0	0	0	0	0	0	0	0.0
172.17.153.202	8c:ec:4b:ce:b2:d7	0	0	0	0	0	0	0	0	0.0
142.250.193.10	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.158.52	2c:3e:cf:fb:e0:3a	0	0	0	0	0	0	0	0	0.0
172.17.154.170	2c:3e:cf:fb:ce:8e	0	0	0	0	0	0	0	0	0.0
172.17.152.194	78:45:c4:3e:1f:f5	0	0	0	0	0	0	0	0	0.0
172.17.154.169	2c:3e:cf:fb:ce:c8	0	1	0	0	0	0	0	0	12.5
172.17.154.204	8c:ec:4b:4a:16:88	0	0	0	0	0	0	0	0	0.0
172.17.153.20	8c:ec:4b:ce:a7:a7	0	0	0	0	0	0	0	0	0.0
172.17.153.163	2c:3e:cf:fb:cd:fd	0	1	0	0	0	0	0	0	12.5
172.17.153.128	2c:3e:cf:fb:e1:05	0	1	0	0	0	0	0	0	12.5
172.17.158.94	2c:3e:cf:fb:e8:7f	0	1	0	0	0	0	0	0	12.5
172.17.152.209	2c:3e:cf:fb:eb:37	0	0	0	0	0	0	0	0	0.0
172.17.153.11	2c:3e:cf:fb:ed:5e	0	1	0	0	0	0	0	0	12.5
172.17.153.12	2c:3e:cf:fb:e9:a1	0	1	0	0	0	0	0	0	12.5
172.17.158.54	2c:3e:cf:fb:eb:e5	0	0	0	0	0	0	0	0	0.0
172.17.154.212	2c:3e:cf:fb:d0:5e	0	0	0	0	0	0	0	0	0.0
172.17.155.147	78:45:c4:3e:20:42	0	0	0	0	0	0	0	0	0.0
172.17.152.43	2c:3e:cf:fb:e5:36	0	1	0	0	0	0	0	0	12.5
172.17.154.100	2c:3e:cf:fb:cf:b0	0	1	0	0	0	0	0	0	12.5
172.17.158.77	2c:3e:cf:fb:e3:83	0	1	0	0	0	0	0	0	12.5
